Country,Time,GDP Growth
United Kingdom,2002,2.123222773
United Kingdom,2003,3.029889927
United Kingdom,2004,2.355629762
United Kingdom,2005,2.59328001
United Kingdom,2006,2.584104677
United Kingdom,2007,2.269486875
United Kingdom,2008,-0.239638085
United Kingdom,2009,-4.247356266
United Kingdom,2010,2.131438198
United Kingdom,2011,1.457563391
United Kingdom,2012,1.469887521
United Kingdom,2013,1.890018342
United Kingdom,2014,2.991164814
United Kingdom,2015,2.622596679
United Kingdom,2016,2.263463538
United Kingdom,2017,2.134453093
United Kingdom,2018,1.650925496
United Kingdom,2019,1.671944197
